Filename,Prompt
"bronze-common.png","A cute pixel art Tamagotchi pet, bronze/copper color scheme, simple design, retro 8-bit game style, 8-bit aesthetic, common rarity with simple, basic colors, no special effects, white background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"bronze-uncommon.png","A cute pixel art Tamagotchi pet, bronze/copper color scheme, simple design, retro 8-bit game style, 8-bit aesthetic, uncommon rarity with slight glow, better colors, subtle shine, white background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"bronze-rare.png","A cute pixel art Tamagotchi pet, bronze/copper color scheme, simple design, retro 8-bit game style, 8-bit aesthetic, rare rarity with glowing effects, special details, magical aura, white background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"bronze-epic.png","A cute pixel art Tamagotchi pet, bronze/copper color scheme, simple design, retro 8-bit game style, 8-bit aesthetic, epic rarity with particle effects, unique design, strong glow, sparkles, white background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"bronze-legendary.png","A cute pixel art Tamagotchi pet, bronze/copper color scheme, simple design, retro 8-bit game style, 8-bit aesthetic, legendary rarity with maximum effects, legendary aura, unique pose, particle effects, glowing halo, epic status, white background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"silver-common.png","A cute pixel art Tamagotchi pet, silver/metallic color scheme, medium detail, retro 16-bit game style, 16-bit aesthetic, common rarity with simple, basic colors, no special effects, gradient background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"silver-uncommon.png","A cute pixel art Tamagotchi pet, silver/metallic color scheme, medium detail, retro 16-bit game style, 16-bit aesthetic, uncommon rarity with slight glow, better colors, subtle shine, gradient background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"silver-rare.png","A cute pixel art Tamagotchi pet, silver/metallic color scheme, medium detail, retro 16-bit game style, 16-bit aesthetic, rare rarity with glowing effects, special details, magical aura, gradient background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"silver-epic.png","A cute pixel art Tamagotchi pet, silver/metallic color scheme, medium detail, retro 16-bit game style, 16-bit aesthetic, epic rarity with particle effects, unique design, strong glow, sparkles, gradient background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"silver-legendary.png","A cute pixel art Tamagotchi pet, silver/metallic color scheme, medium detail, retro 16-bit game style, 16-bit aesthetic, legendary rarity with maximum effects, legendary aura, unique pose, particle effects, glowing halo, epic status, gradient background, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"gold-common.png","A cute pixel art Tamagotchi pet, gold/luxury color scheme, high detail, premium pixel art style, modern pixel art, common rarity with simple, basic colors, no special effects, luxury background with effects, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"gold-uncommon.png","A cute pixel art Tamagotchi pet, gold/luxury color scheme, high detail, premium pixel art style, modern pixel art, uncommon rarity with slight glow, better colors, subtle shine, luxury background with effects, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"gold-rare.png","A cute pixel art Tamagotchi pet, gold/luxury color scheme, high detail, premium pixel art style, modern pixel art, rare rarity with glowing effects, special details, magical aura, luxury background with effects, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"gold-epic.png","A cute pixel art Tamagotchi pet, gold/luxury color scheme, high detail, premium pixel art style, modern pixel art, epic rarity with particle effects, unique design, strong glow, sparkles, luxury background with effects, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
"gold-legendary.png","A cute pixel art Tamagotchi pet, gold/luxury color scheme, high detail, premium pixel art style, modern pixel art, legendary rarity with maximum effects, legendary aura, unique pose, particle effects, glowing halo, epic status, luxury background with effects, 1000x1000px, clean illustration, front view, happy expression, game character, NFT art style"
